연번,경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일)
50,2015-10-20,기타축구,중국유소년팀 초청 친선경기,중국유소년팀 초청 친선경기,마포구청 생활체육과,60 ,714000 ,1
51,2015-10-21,기타축구,중국유소년팀 초청 친선경기,중국유소년팀 초청 친선경기,마포구청 생활체육과,60 ,714000 ,1
39,2015-10-25,K리그,K리그 클래식,K리그 스플릿(vs전북),GS스포츠,24262 ,51532290 ,1
40,2015-10-31,기타축구,FA컵,FA컵 결승전(vs인천),GS스포츠,26797 ,49031360 ,1
41,2015-11-07,K리그,K리그 클래식,K리그 스플릿(vs수원),GS스포츠,23308 ,69127730 ,1
42,2015-11-21,기타축구,서울컵2015 후기결승,서울컵2015 후기결승,"서울시설공단,GS스포츠",350 ,0 ,1
43,2015-11-28,기타축구,서울컵2015 통합결승,서울컵2015 통합결승,"서울시설공단,GS스포츠",350 ,0 ,1
52,2016-02-29,기타축구,ACL,ACL 적응훈련(히로시마),GS스포츠,50 ,460000 ,1
53,2016-03-01,기타축구,ACL,ACL (vs 히로시마),GS스포츠,18115 ,39962090 ,1
54,2016-03-20,K리그,K리그 클래식,K리그 클래식(vs상주),GS스포츠,25950 ,49204650 ,1
55,2016-04-02,K리그,K리그 클래식,K리그 클래식(vs인천),GS스포츠,19318 ,45520290 ,1
57,2016-04-04,기타축구,ACL,ACL 적응훈련(산둥루넝),GS스포츠,50 ,598000 ,1
58,2016-04-05,기타축구,ACL,ACL (vs 산둥루넝),GS스포츠,10147 ,33441240 ,1
56,2016-04-14,일반행사,콘서트,mbc무한도전 게릴라 콘서트,mbc 문화방송,14156 ,33039330 ,4
59,2016-04-16,K리그,K리그 클래식,K리그 클래식(vs수원FC),GS스포츠,13190 ,40614080 ,1
60,2016-04-19,기타축구,ACL,ACL 적응훈련(부리람),GS스포츠,50 ,598000 ,1
61,2016-04-20,기타축구,ACL,ACL (vs 부리람),GS스포츠,5109 ,27360970 ,2
62,2016-04-22,기타축구,일반시민 축구경기,일반시민 축구경기,한성동문축구클럽,50 ,690000 ,1
63,2016-04-23,기타축구,일반시민 축구경기,일반시민 축구경기,곰두리축구단,60 ,0 ,1
64,2016-05-01,일반행사,종교행사,원불교 100주년 기념행사,원불교,49292 ,93492760 ,8
65,2016-05-08,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,17530 ,44274590 ,1
66,2016-05-11,기타축구,FA컵,FA컵-32강전 (vs대구FC),GS스포츠,3539 ,11606690 ,1
67,2016-05-24,기타축구,ACL,ACL 적응훈련(우라와),GS스포츠,50 ,598000 ,1
68,2016-05-25,기타축구,ACL,ACL 16강전 (vs우라와 ),GS스포츠,14173 ,31028600 ,1
69,2016-05-29,K리그,K리그 클래식,K리그 클래식(vs전남),GS스포츠,15851 ,42483520 ,1
70,2016-06-04,일반행사,콘서트,2016 드림콘서트,한국연예제작자협회,43712 ,102288570 ,7
71,2016-06-06,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,17466 ,45826590 ,1
72,2016-06-15,K리그,K리그 클래식,K리그 클래식(vs광주),GS스포츠,5505 ,34016190 ,1
73,2016-06-18,K리그,K리그 클래식,K리그 클래식(vs수원삼성),GS스포츠,47899 ,88646260 ,1
74,2016-06-22,기타축구,FA컵,FA컵-16강전 (vs안산경찰청),GS스포츠,3993 ,11932030 ,1
75,2016-06-25,기타축구,일반시민 축구경기,일반시민 축구경기,오 재 상,50 ,897000 ,1
76,2016-06-26,기타축구,일반시민 축구경기,일반시민 축구경기,남 상 범,50 ,897000 ,1
77,2016-06-29,K리그,K리그 클래식,K리그 클래식(vs성남),GS스포츠,7865 ,41603320 ,1
78,2016-07-03,일반행사,프린지 축제(윷놀이),프린지 축제(윷놀이),프 린 지,500 ,0 ,1
79,2016-07-09,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,18372 ,49353270 ,1
80,2016-07-13,기타축구,FA컵,FA컵-8강전 (vs전남),GS스포츠,5322 ,13680650 ,1
81,2016-07-16,기타축구,일반시민 축구경기,일반시민 축구경기,필립스전자,50 ,897000 ,1
82,2016-07-17,기타축구,일반시민 축구경기,일반시민 축구경기,jinguangzh,50 ,897000 ,1
83,2016-07-20,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,18814 ,50784780 ,1
84,2016-07-22,일반행사,프린지 축제(크리미널 런),프린지 축제(크리미널 런),프 린 지,500 ,0 ,2
85,2016-07-31,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,17140 ,48929580 ,1
86,2016-08-13,K리그,K리그 클래식,K리그 클래식(vs수원삼성),GS스포츠,36309 ,68641240 ,1
87,2016-08-20,일반행사,콘서트,빅뱅 10주년 기념 콘서트,YG엔터테인먼트,64816 ,575270560 ,6
88,2016-08-23,기타축구,ACL,ACL 적응훈련(산둥루넝),GS스포츠,50 ,598000 ,1
89,2016-08-24,기타축구,ACL,ACL-8강(vs산둥루넝),GS스포츠,16044 ,38233230 ,1
90,2016-08-28,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,24508 ,57407730 ,1
91,2016-08-31,국가대표,월드컵예선 적응훈련(중국),월드컵예선 적응훈련(중국),대한축구협회,50 ,598000 ,1
92,2016-09-01,국가대표,월드컵예선(vs중국),월드컵예선(vs중국),대한축구협회,46534 ,260632680 ,2
93,2016-09-03,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,13843 ,44235720 ,1
94,2016-09-10,일반행사,프린지 축제(크리미널 런),프린지 축제(크리미널 런),프 린 지,60 ,0 ,1
95,2016-09-11,기타축구,일반시민 축구경기,일반시민 축구경기,조 성 일,50 ,897000 ,1
96,2016-09-18,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,15516 ,44263090 ,1
97,2016-09-23,일반행사,전국금융노조 축제 한마당,전국금융노조 축제 한마당,전국금융산업노동조합,53332 ,88433400 ,3
98,2016-09-24,기타축구,일반시민 축구경기,일반시민 축구경기,윤 무 영,50 ,897000 ,1
99,2016-09-25,일반행사,프린지 축제(즉흥으로놀자),프린지 축제(즉흥으로놀자),프 린 지,500 ,0 ,2
100,2016-10-03,일반행사,어반 애슬런 2016,어반 애슬런 2016,볼 렌 트,1600 ,36917580 ,2
101,2016-10-08,일반행사,청춘 아레나,청춘 아레나,마이크임팩트,9449 ,47704320 ,5
102,2016-10-15,기타축구,2016 서울컵 남자부 결승,2016 서울컵 남자부 결승,"공단, GS스포츠",50 ,0 ,1
103,2016-10-15,K리그,K리그 클래식,스플릿리그 (vs울산),GS스포츠,10482 ,38438370 ,1
104,2016-10-18,기타축구,ACL,ACL 적응훈련(전북),GS스포츠,50 ,460000 ,1
105,2016-10-19,기타축구,ACL,ACL 4강전 (vs전북),GS스포츠,14677 ,36210420 ,1
106,2016-10-22,기타축구,2016 서울컵 여자부 결승,2016 서울컵 여자부 결승,"공단, GS스포츠",50 ,0 ,1
107,2016-10-22,K리그,K리그 클래식,스플릿리그 (vs상주),GS스포츠,11565 ,41455400 ,1
108,2016-10-26,기타축구,FA컵,FA컵 4강전 (vs부천),GS스포츠,5843 ,12934460 ,1
109,2016-11-02,K리그,K리그 클래식,스플릿리그 (vs전남),GS스포츠,5011 ,34624960 ,1
110,2016-11-14,국가대표,월드컵예선 적응훈련(우주백),월드컵예선 적응훈련(우주백),대한축구협회,150 ,1518000 ,3
111,2016-11-15,국가대표,월드컵예선(vs우주백),월드컵예선(vs우주백),대한축구협회,27496 ,133667740 ,1
112,2016-11-20,기타축구,서울시 S리그 결승,서울시 S리그 결승,서울시 체육진흥과,50 ,411580 ,1
113,2016-12-03,기타축구,FA컵,FA컵 결승전 (vs수원),GS스포츠,35037 ,70985880 ,1
114,2017-02-20,기타축구,ACL,ACL 적응훈련(상하이상강),GS스포츠,50 ,598000 ,1
115,2017-02-21,기타축구,ACL,ACL (vs 상하이상강),GS스포츠,17764 ,40406640 ,1
116,2017-03-05,K리그,K리그 클래식,K리그 클래식(vs수원),GS스포츠,34376 ,79174040 ,1
117,2017-03-14,기타축구,ACL,ACL 적응훈련(시드니),GS스포츠,50 ,460000 ,1
118,2017-03-15,기타축구,ACL,ACL (vs 웨스턴시드니),GS스포츠,4769 ,24815410 ,1
119,2017-03-19,K리그,K리그 클래식,K리그 클래식(vs광주),GS스포츠,10892 ,36970700 ,1
120,2017-03-27,국가대표,월드컵예선 적응훈련(시리아),월드컵예선 적응훈련(시리아),대한축구협회,100 ,598000 ,1
121,2017-03-28,국가대표,월드컵예선(vs시리아),월드컵예선(vs시리아),대한축구협회,27920 ,114651600 ,1
122,2017-04-01,기타축구,일반시민 축구경기,일반시민 축구경기,황희식,50 ,897000 ,1
123,2017-04-08,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,13175 ,38079860 ,1
124,2017-04-13,일반행사,국가금식회개의날,국가금식회개의날,TOW미니스트리,15248 ,75858220 ,6
125,2017-04-19,기타축구,FA컵,FA컵-32강전 (vs 안양),GS스포츠,4277 ,12211850 ,1
126,2017-04-22,K리그,K리그 클래식,K리그 클래식(vs인천),GS스포츠,14596 ,40827270 ,1
127,2017-04-29,기타축구,일반시민 축구경기,일반시민 축구경기,곰두리축구단,200 ,0 ,1
128,2017-05-03,K리그,K리그 클래식,K리그 클래식(vs전남),GS스포츠,26261 ,50450840 ,1
129,2017-05-09,기타축구,ACL,ACL 적응훈련(우라와),GS스포츠,50 ,460000 ,1
130,2017-05-10,기타축구,ACL,ACL (vs우라와 ),GS스포츠,4933 ,26304850 ,1
131,2017-05-14,일반행사,워킹페스티벌 after 콘서트,워킹페스티벌 after 콘서트,크래스토마케팅,6682 ,24312350 ,4
132,2017-05-17,기타축구,FA컵,FA컵-16강전 (vs부산),GS스포츠,2456 ,9976980 ,1
133,2017-05-20,K리그,K리그 클래식,K리그 클래식(vs강원),GS스포츠,14560 ,45898730 ,1
134,2017-05-27,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,16359 ,42134530 ,1
135,2017-06-03,일반행사,콘서트,2017 드림콘서트,한국연예제작자협회,47508 ,100639370 ,9
136,2017-06-10,일반행사,콘서트,지드래곤 2017 콘서트,YG엔터테인먼트,35443 ,316811100 ,9
137,2017-06-21,K리그,K리그 클래식,K리그 클래식(vs대구),GS스포츠,6384 ,33789660 ,1
138,2017-06-25,K리그,K리그 클래식,K리그 클래식(vs상주),GS스포츠,9757 ,37307610 ,1
139,2017-07-02,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,17571 ,56086320 ,1
140,2017-07-08,일반행사,콘서트,SM타운 콘서트,드림메이커엔터테인먼트,32637 ,213257280 ,7
141,2017-07-12,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,8833 ,41230490 ,1
142,2017-07-17,일반행사,프린지 페스티벌,프린지 페스티벌,프린지,6000 ,0 ,6
143,2017-07-23,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,23913 ,53603280 ,1
144,2017-08-02,K리그,K리그 클래식,K리그 클래식(vs강원),GS스포츠,11361 ,40148730 ,1
145,2017-08-19,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,18087 ,47121090 ,1
146,2017-08-29,국가대표,월드컵예선 적응훈련,월드컵예선 적응훈련,대한축구협회,200 ,1196000 ,2
147,2017-08-31,국가대표,월드컵예선(vs이란),월드컵예선(vs이란),대한축구협회,60326 ,253759790 ,1
148,2017-09-09,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,17161 ,45338070 ,1
149,2017-09-23,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,16621 ,61864500 ,1
150,2017-10-21,K리그,K리그 클래식,K-스플릿라운드(vs수원),GS스포츠,27257 ,53874070 ,1
151,2017-10-28,기타축구,2017 서울컵 여자부 결승,2017 서울컵 여자부 결승,"공단, GS스포츠",50 ,0 ,1
152,2017-10-28,K리그,K리그 클래식,K-스플릿라운드(vs울산),GS스포츠,11984 ,37815470 ,1
153,2017-11-11,일반행사,한반도 평화통일 세계대회,한반도 평화통일 세계대회,세계평화통일가정연합,55991 ,101969480 ,7
154,2017-11-19,기타축구,2017 서울컵 남자부 결승,2017 서울컵 남자부 결승,"공단, GS스포츠",50 ,0 ,1
155,2017-11-19,K리그,K리그 클래식,K-스플릿라운드(vs제주),GS스포츠,10913 ,39301310 ,1
156,2018-03-11,K리그,K리그 클래식,2018 K리그1 서울vs강원,(주)GS스포츠,16506 ,42307060 ,1
157,2018-04-01,K리그,K리그 클래식,2018 K리그1 서울vs인천,(주)GS스포츠,12686 ,40321530 ,1
158,2018-04-07,기타축구,황희식/재경 동산FC축구단,서울경찰청FCvs재경동산FC 축구대회,황희식/재경 동산FC축구단,,897000 ,1
159,2018-04-11,K리그,K리그 클래식,2018 K리그1 서울vs포항,(주)GS스포츠,5230 ,30946270 ,1
160,2018-04-21,K리그,K리그 클래식,2018 K리그1 서울vs대구,(주)GS스포츠,8147 ,34804970 ,1
161,2018-04-28,K리그,K리그 클래식,2018 K리그1 서울vs상주,(주)GS스포츠,8063 ,34835140 ,1
162,2018-05-05,K리그,K리그 클래식,2018 K리그1 서울vs수원,(주)GS스포츠,37373 ,71612970 ,1
163,2018-05-12,일반행사,콘서트,2018 드림콘서트,한국연예제작자협회,43035 ,97994340 ,7
164,2018-05-18,일반행사,종교행사,2018 세계평화와 희망나눔을 위한 기도대성회,여의도순복음교회,65608 ,109245110 ,7
165,2018-05-20,K리그,K리그 클래식,2018 K리그1 서울vs전북,(주)GS스포츠,23956 ,55174460 ,1
166,2018-07-15,K리그,K리그 클래식,2018 K리그1 서울vs울산,(주)GS스포츠,12708 ,42381580 ,1
167,2018-07-18,K리그,K리그 클래식,2018 K리그1 서울vs전남,(주)GS스포츠,6056 ,36053570 ,1
168,2018-07-28,K리그,K리그 클래식,2018 K리그1 서울vs경남,(주)GS스포츠,9923 ,39371320 ,1
169,2018-08-04,K리그,K리그 클래식,2018 K리그1 서울vs제주,(주)GS스포츠,9456 ,38758310 ,1
170,2018-08-08,기타축구,FA컵,2018 FA컵 16강전 서울vs제주,(주)GS스포츠,3809 ,13351290 ,1
171,2018-08-11,기타축구,한국노동조합총연맹,남북노동자 통일 축구대회,한국노동조합총연맹,12452 ,34375000 ,3
172,2018-08-19,K리그,K리그 클래식,2018 K리그1 서울vs전북,(주)GS스포츠,20471 ,53100490 ,1
173,2018-08-22,K리그,K리그 클래식,2018 K리그1 서울vs포항,(주)GS스포츠,6995 ,38131200 ,1
174,2018-09-16,K리그,K리그 클래식,2018 K리그1 서울vs대구,(주)GS스포츠,15602 ,42600940 ,1
175,2018-09-26,K리그,K리그 클래식,2018 K리그1 서울vs인천,(주)GS스포츠,15092 ,41887160 ,1
176,2018-09-30,K리그,K리그 클래식,2018 K리그1 서울vs상주,(주)GS스포츠,12943 ,39249740 ,1
177,2018-10-12,국가대표,대한축구협회,축구국가대표팀 친선경기 대한민국vs우루과이,대한축구협회,64170 ,339712980 ,2
178,2018-10-27,K리그,K리그 클래식,2018 K스플릿라운드 서울vs강원,(주)GS스포츠,7616 ,35091160 ,1
179,2018-11-11,K리그,K리그 클래식,2018 K스플릿라운드 서울vs전남,(주)GS스포츠,8525 ,35880530 ,1
180,2018-11-24,K리그,K리그 클래식,2018 K스플릿라운드 서울vs인천,(주)GS스포츠,10816 ,38832310 ,1
181,2018-12-09,K리그,K리그 클래식,2018 K리그 승강플레이오프 서울vs부산,(주)GS스포츠,9612 ,57504930 ,1
182,2019-03-03,K리그,K리그1,2019 K리그1 서울vs포항,(주)GS스포츠,15100 ,46448200 ,1
183,2019-03-16,K리그,K리그1,2019 K리그1 서울vs제주,(주)GS스포츠,17003 ,42233810 ,1
184,2019-03-26,국가대표,축구국가대표팀 친선경기 대한민국vs콜롬비아,축구국가대표팀 친선경기 대한민국vs콜롬비아,대한축구협회,64412 ,359759980 ,2
185,2019-03-30,K리그,K리그1,2019 K리그1 서울vs상주,(주)GS스포츠,12862 ,39618720 ,1
186,2019-04-06,K리그,K리그1,2019 K리그1 서울vs경남,(주)GS스포츠,13503 ,39677520 ,1
187,2019-04-21,K리그,K리그1,2019 K리그1 서울vs인천,(주)GS스포츠,19314 ,47636620 ,1
188,2019-05-11,K리그,K리그1,2019 K리그1 서울vs대구,(주)GS스포츠,26505 ,58091120 ,1
189,2019-05-18,일반행사,콘서트,2019 드림콘서트,한국연예제작자협회,42563 ,88875350 ,7
190,2019-05-28,K리그,K리그1,2019 K리그1 서울vs성남,(주)GS스포츠,13091 ,41764650 ,1
191,2019-06-11,국가대표,축구국가대표팀 친선경기 대한민국vs이란,축구국가대표팀 친선경기 대한민국vs이란,대한축구협회,35481 ,316281330 ,2
192,2019-06-16,국가대표,2019 FIFA U-20 월드컵 결승 거리응원전,2019 FIFA U-20 월드컵 결승 거리응원전,"서울특별시, 대한축구협회",23000 ,,2
193,2019-06-16,K리그,K리그1,2019 K리그1 서울vs수원,(주)GS스포츠,35481 ,64878370 ,1
194,2019-06-30,K리그,K리그1,2019 K리그1 서울vs울산,(주)GS스포츠,19992 ,50311719 ,1
195,2019-07-06,K리그,K리그1,2019 K리그1 서울vs강원,(주)GS스포츠,17990 ,49143620 ,1
196,2019-07-20,K리그,K리그1,2019 K리그1 서울vs전북,(주)GS스포츠,32008 ,69212790 ,1
197,2019-07-26,일반행사,K리그 올스타vs유벤투스FC,K리그 올스타vs유벤투스FC,"사)한국프로축구연맹, ㈜더페스타",62689 ,912828350 ,2
198,2019-08-02,K리그,K리그1,2019 K리그1 서울vs대구,(주)GS스포츠,18578 ,48590770 ,1
199,2019-08-11,K리그,K리그1,2019 K리그1 서울vs강원,(주)GS스포츠,15355 ,47218175 ,1
200,2019-09-01,K리그,K리그1,2019 K리그1 서울vs전북,(주)GS스포츠,28024 ,62535658 ,1
201,2019-09-15,K리그,K리그1,2019 K리그1 서울vs인천,(주)GS스포츠,15236 ,44995210 ,1
202,2019-09-25,K리그,K리그1,2019 K리그1 서울vs경남,(주)GS스포츠,8429 ,39306280 ,1
203,2019-09-29,K리그,K리그1,2019 K리그1 서울vs상주,(주)GS스포츠,13914 ,60876030 ,1
204,2019-10-08,기타축구,제100회 전국체육대회,제100회 전국체육대회 4강 1차전,서울특별시,300 ,2769440 ,2
205,2019-10-08,기타축구,제100회 전국체육대회,제100회 전국체육대회 4강 2차전,서울특별시,350 ,,
206,2019-10-10,기타축구,제100회 전국체육대회,제100회 전국체육대회 결승,서울특별시,300 ,,1
207,2019-10-16,기타축구,제39회 장애인체전,제39회 장애인체전 8강전 1경기,서울특별시,100 ,354510 ,2
208,2019-10-16,기타축구,제39회 장애인체전,제39회 장애인체전 8강전 2경기,서울특별시,100 ,,
209,2019-10-16,기타축구,제39회 장애인체전,제39회 장애인체전 8강전 3경기,서울특별시,100 ,,
210,2019-10-16,기타축구,제39회 장애인체전,제39회 장애인체전 8강전 4경기,서울특별시,100 ,,
211,2019-10-18,기타축구,제39회 장애인체전,제39회 장애인체전 4강전 1경기,서울특별시,200 ,,1
212,2019-10-18,기타축구,제39회 장애인체전,제39회 장애인체전 4강전 2경기,서울특별시,200 ,,
213,2019-10-19,기타축구,제39회 장애인체전,제39회 장애인체전 결승,서울특별시,200 ,,1
214,2019-11-03,K리그,K리그1,2019 K리그1 파이널 서울vs울산,(주)GS스포츠,19813 ,68202520 ,1
215,2019-11-23,K리그,K리그1,2020 K리그1 파이널 서울vs포항,(주)GS스포츠,16783 ,46329880 ,1
